Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active
New South Wales,Australia,-33.8688,151.2093,2020-01-30,4,0,2,2
Victoria,Australia,-37.8136,144.9631,2020-01-30,2,0,0,2
Queensland,Australia,-28.0167,153.4,2020-01-30,3,0,0,3
,Cambodia,11.55,104.9167,2020-01-30,1,0,0,1
,Sri Lanka,7.0,81.0,2020-01-30,1,0,0,1
,Germany,51.0,9.0,2020-01-30,4,0,0,4
,Finland,64.0,26.0,2020-01-30,1,0,0,1
,United Arab Emirates,24.0,54.0,2020-01-30,4,0,0,4
,Philippines,13.0,122.0,2020-01-30,1,0,0,1
,India,21.0,78.0,2020-01-30,1,0,0,1
,Italy,43.0,12.0,2020-01-30,0,0,0,0
,Sweden,63.0,16.0,2020-01-30,0,0,0,0
,Spain,40.0,-4.0,2020-01-30,0,0,0,0
South Australia,Australia,-34.9285,138.6007,2020-01-30,0,0,0,0
,Belgium,50.8333,4.0,2020-01-30,0,0,0,0
,Egypt,26.0,30.0,2020-01-30,0,0,0,0
From Diamond Princess,Australia,35.4437,139.638,2020-01-30,0,0,0,0
,Lebanon,33.8547,35.8623,2020-01-30,0,0,0,0
,Iraq,33.0,44.0,2020-01-30,0,0,0,0
,Oman,21.0,57.0,2020-01-30,0,0,0,0
,Afghanistan,33.0,65.0,2020-01-30,0,0,0,0
,Bahrain,26.0275,50.55,2020-01-30,0,0,0,0
,Kuwait,29.5,47.75,2020-01-30,0,0,0,0
,Algeria,28.0339,1.6596,2020-01-30,0,0,0,0
,Croatia,45.1,15.2,2020-01-30,0,0,0,0
,Switzerland,46.8182,8.2275,2020-01-30,0,0,0,0
,Austria,47.5162,14.5501,2020-01-30,0,0,0,0
,Israel,31.0,35.0,2020-01-30,0,0,0,0
,Pakistan,30.3753,69.3451,2020-01-30,0,0,0,0
,Brazil,-14.235,-51.9253,2020-01-30,0,0,0,0
,Georgia,42.3154,43.3569,2020-01-30,0,0,0,0
,Greece,39.0742,21.8243,2020-01-30,0,0,0,0
,North Macedonia,41.6086,21.7453,2020-01-30,0,0,0,0
,Norway,60.472,8.4689,2020-01-30,0,0,0,0
,Romania,45.9432,24.9668,2020-01-30,0,0,0,0
,Estonia,58.5953,25.0136,2020-01-30,0,0,0,0
,Netherlands,52.1326,5.2913,2020-01-30,0,0,0,0
,San Marino,43.9424,12.4578,2020-01-30,0,0,0,0
,Belarus,53.7098,27.9534,2020-01-30,0,0,0,0
,Iceland,64.9631,-19.0208,2020-01-30,0,0,0,0
,Lithuania,55.1694,23.8813,2020-01-30,0,0,0,0
,Mexico,23.6345,-102.5528,2020-01-30,0,0,0,0
,New Zealand,-40.9006,174.886,2020-01-30,0,0,0,0
,Nigeria,9.082,8.6753,2020-01-30,0,0,0,0
Western Australia,Australia,-31.9505,115.8605,2020-01-30,0,0,0,0
,Ireland,53.1424,-7.6921,2020-01-30,0,0,0,0
,Luxembourg,49.8153,6.1296,2020-01-30,0,0,0,0
,Monaco,43.7333,7.4167,2020-01-30,0,0,0,0
,Qatar,25.3548,51.1839,2020-01-30,0,0,0,0
,Ecuador,-1.8312,-78.1834,2020-01-30,0,0,0,0
,Azerbaijan,40.1431,47.5769,2020-01-30,0,0,0,0
,Armenia,40.0691,45.0382,2020-01-30,0,0,0,0
,Dominican Republic,18.7357,-70.1627,2020-01-30,0,0,0,0
,Indonesia,-0.7893,113.9213,2020-01-30,0,0,0,0
,Portugal,39.3999,-8.2245,2020-01-30,0,0,0,0
,Andorra,42.5063,1.5218,2020-01-30,0,0,0,0
Tasmania,Australia,-41.4545,145.9707,2020-01-30,0,0,0,0
,Latvia,56.8796,24.6032,2020-01-30,0,0,0,0
,Morocco,31.7917,-7.0926,2020-01-30,0,0,0,0
,Saudi Arabia,24.0,45.0,2020-01-30,0,0,0,0
,Senegal,14.4974,-14.4524,2020-01-30,0,0,0,0
,Argentina,-38.4161,-63.6167,2020-01-30,0,0,0,0
,Chile,-35.6751,-71.543,2020-01-30,0,0,0,0
,Jordan,31.24,36.51,2020-01-30,0,0,0,0
,Ukraine,48.3794,31.1656,2020-01-30,0,0,0,0
,Hungary,47.1625,19.5033,2020-01-30,0,0,0,0
Northern Territory,Australia,-12.4634,130.8456,2020-01-30,0,0,0,0
,Liechtenstein,47.14,9.55,2020-01-30,0,0,0,0
,Poland,51.9194,19.1451,2020-01-30,0,0,0,0
,Tunisia,34.0,9.0,2020-01-30,0,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2020-01-30,0,0,0,0
,Slovenia,46.1512,14.9955,2020-01-30,0,0,0,0
,South Africa,-30.5595,22.9375,2020-01-30,0,0,0,0
,Bhutan,27.5142,90.4336,2020-01-30,0,0,0,0
,Cameroon,3.848,11.5021,2020-01-30,0,0,0,0
,Colombia,4.5709,-74.2973,2020-01-30,0,0,0,0
,Costa Rica,9.7489,-83.7534,2020-01-30,0,0,0,0
,Peru,-9.19,-75.0152,2020-01-30,0,0,0,0
,Serbia,44.0165,21.0059,2020-01-30,0,0,0,0
,Slovakia,48.669,19.699,2020-01-30,0,0,0,0
,Togo,8.6195,0.8248,2020-01-30,0,0,0,0
,Malta,35.9375,14.3754,2020-01-30,0,0,0,0
,Martinique,14.6415,-61.0242,2020-01-30,0,0,0,0
,Bulgaria,42.7339,25.4858,2020-01-30,0,0,0,0
,Maldives,3.2028,73.2207,2020-01-30,0,0,0,0
,Bangladesh,23.685,90.3563,2020-01-30,0,0,0,0
,Paraguay,-23.4425,-58.4438,2020-01-30,0,0,0,0
Ontario,Canada,51.2538,-85.3232,2020-01-30,1,0,0,1
Alberta,Canada,53.9333,-116.5765,2020-01-30,0,0,0,0
Quebec,Canada,52.9399,-73.5491,2020-01-30,0,0,0,0
,Albania,41.1533,20.1683,2020-01-30,0,0,0,0
,Cyprus,35.1264,33.4299,2020-01-30,0,0,0,0
,Brunei,4.5353,114.7277,2020-01-30,0,0,0,0
Washington,US,47.4009,-121.4905,2020-01-30,0,0,0,0
New York,US,42.1657,-74.9481,2020-01-30,0,0,0,0
California,US,36.1162,-119.6816,2020-01-30,0,0,0,0
Massachusetts,US,42.2302,-71.5301,2020-01-30,0,0,0,0
Diamond Princess,US,35.4437,139.638,2020-01-30,0,0,0,0
Grand Princess,US,37.6489,-122.6655,2020-01-30,0,0,0,0
Georgia,US,33.0406,-83.6431,2020-01-30,0,0,0,0
Colorado,US,39.0598,-105.3111,2020-01-30,0,0,0,0
Florida,US,27.7663,-81.6868,2020-01-30,0,0,0,0
New Jersey,US,40.2989,-74.521,2020-01-30,0,0,0,0
Oregon,US,44.572,-122.0709,2020-01-30,0,0,0,0
Texas,US,31.0545,-97.5635,2020-01-30,0,0,0,0
Illinois,US,40.3495,-88.9861,2020-01-30,0,0,0,0
Pennsylvania,US,40.5908,-77.2098,2020-01-30,0,0,0,0
Iowa,US,42.0115,-93.2105,2020-01-30,0,0,0,0
Maryland,US,39.0639,-76.8021,2020-01-30,0,0,0,0
North Carolina,US,35.6301,-79.8064,2020-01-30,0,0,0,0
South Carolina,US,33.8569,-80.945,2020-01-30,0,0,0,0
Tennessee,US,35.7478,-86.6923,2020-01-30,0,0,0,0
Virginia,US,37.7693,-78.17,2020-01-30,0,0,0,0
Arizona,US,33.7298,-111.4312,2020-01-30,0,0,0,0
Indiana,US,39.8494,-86.2583,2020-01-30,0,0,0,0
Kentucky,US,37.6681,-84.6701,2020-01-30,0,0,0,0
District of Columbia,US,38.8974,-77.0268,2020-01-30,0,0,0,0
Nevada,US,38.3135,-117.0554,2020-01-30,0,0,0,0
New Hampshire,US,43.4525,-71.5639,2020-01-30,0,0,0,0
Minnesota,US,45.6945,-93.9002,2020-01-30,0,0,0,0
Nebraska,US,41.1254,-98.2681,2020-01-30,0,0,0,0
Ohio,US,40.3888,-82.7649,2020-01-30,0,0,0,0
Rhode Island,US,41.6809,-71.5118,2020-01-30,0,0,0,0
Wisconsin,US,44.2685,-89.6165,2020-01-30,0,0,0,0
Connecticut,US,41.5978,-72.7554,2020-01-30,0,0,0,0
Hawaii,US,21.0943,-157.4983,2020-01-30,0,0,0,0
Oklahoma,US,35.5653,-96.9289,2020-01-30,0,0,0,0
Utah,US,40.15,-111.8624,2020-01-30,0,0,0,0
,Burkina Faso,12.2383,-1.5616,2020-01-30,0,0,0,0
,Holy See,41.9029,12.4534,2020-01-30,0,0,0,0
,Mongolia,46.8625,103.8467,2020-01-30,0,0,0,0
,Panama,8.538,-80.7821,2020-01-30,0,0,0,0
Kansas,US,38.5266,-96.7265,2020-01-30,0,0,0,0
Louisiana,US,31.1695,-91.8678,2020-01-30,0,0,0,0
Missouri,US,38.4561,-92.2884,2020-01-30,0,0,0,0
Vermont,US,44.0459,-72.7107,2020-01-30,0,0,0,0
Alaska,US,61.3707,-152.4044,2020-01-30,0,0,0,0
Arkansas,US,34.9697,-92.3731,2020-01-30,0,0,0,0
Delaware,US,39.3185,-75.5071,2020-01-30,0,0,0,0
Idaho,US,44.2405,-114.4788,2020-01-30,0,0,0,0
Maine,US,44.6939,-69.3819,2020-01-30,0,0,0,0
Michigan,US,43.3266,-84.5361,2020-01-30,0,0,0,0
Mississippi,US,32.7416,-89.6787,2020-01-30,0,0,0,0
Montana,US,46.9219,-110.4544,2020-01-30,0,0,0,0
New Mexico,US,34.8405,-106.2485,2020-01-30,0,0,0,0
North Dakota,US,47.5289,-99.784,2020-01-30,0,0,0,0
South Dakota,US,44.2998,-99.4388,2020-01-30,0,0,0,0
West Virginia,US,38.4912,-80.9545,2020-01-30,0,0,0,0
Wyoming,US,42.756,-107.3025,2020-01-30,0,0,0,0
Hubei,China,30.9756,112.2707,2020-01-30,4903,162,90,4651
,Iran,32.0,53.0,2020-01-30,0,0,0,0
,"Korea, South",36.0,128.0,2020-01-30,4,0,0,4
France,France,46.2276,2.2137,2020-01-30,5,0,0,5
Guangdong,China,23.3417,113.4244,2020-01-30,354,0,10,344
Henan,China,33.882,113.614,2020-01-30,278,2,2,274
Zhejiang,China,29.1832,120.0934,2020-01-30,428,0,4,424
Hunan,China,27.6104,111.7088,2020-01-30,277,0,2,275
Anhui,China,31.8257,117.2264,2020-01-30,200,0,2,198
Jiangxi,China,27.614,115.7221,2020-01-30,162,0,5,157
Shandong,China,36.3427,118.1498,2020-01-30,158,0,1,157
Diamond Princess,Cruise Ship,35.4437,139.638,2020-01-30,0,0,0,0
Jiangsu,China,32.9711,119.455,2020-01-30,129,0,1,128
Chongqing,China,30.0572,107.874,2020-01-30,182,0,1,181
Sichuan,China,30.6171,102.7103,2020-01-30,142,1,1,140
Heilongjiang,China,47.862,127.7615,2020-01-30,44,2,0,42
Denmark,Denmark,56.2639,9.5018,2020-01-30,0,0,0,0
Beijing,China,40.1824,116.4142,2020-01-30,114,1,4,109
Shanghai,China,31.202,121.4491,2020-01-30,112,1,5,106
Hebei,China,39.549,116.1306,2020-01-30,65,1,0,64
Fujian,China,26.0789,117.9874,2020-01-30,101,0,0,101
Guangxi,China,23.8298,108.7881,2020-01-30,78,0,2,76
Shaanxi,China,35.1917,108.8701,2020-01-30,63,0,0,63
Yunnan,China,24.974,101.487,2020-01-30,70,0,0,70
Hainan,China,19.1959,109.7453,2020-01-30,46,1,1,44
Guizhou,China,26.8154,106.8748,2020-01-30,12,0,1,11
Tianjin,China,39.3054,117.323,2020-01-30,31,0,0,31
Shanxi,China,37.5777,112.2922,2020-01-30,35,0,1,34
Gansu,China,37.8099,101.0583,2020-01-30,26,0,0,26
Hong Kong,China,22.3,114.2,2020-01-30,10,0,0,10
Liaoning,China,41.2956,122.6085,2020-01-30,41,0,1,40
Jilin,China,43.6661,126.1923,2020-01-30,14,0,1,13
,Czechia,49.8175,15.473,2020-01-30,0,0,0,0
Xinjiang,China,41.1129,85.2401,2020-01-30,14,0,0,14
Inner Mongolia,China,44.0935,113.9448,2020-01-30,19,0,0,19
Ningxia,China,37.2692,106.1655,2020-01-30,17,0,0,17
,Taiwan*,23.7,121.0,2020-01-30,9,0,0,9
,Vietnam,16.0,108.0,2020-01-30,2,0,0,2
,Russia,60.0,90.0,2020-01-30,0,0,0,0
Qinghai,China,35.7452,95.9956,2020-01-30,8,0,0,8
Macau,China,22.1667,113.55,2020-01-30,7,0,0,7
,Moldova,47.4116,28.3699,2020-01-30,0,0,0,0
,Bolivia,-16.2902,-63.5887,2020-01-30,0,0,0,0
Faroe Islands,Denmark,61.8926,-6.9118,2020-01-30,0,0,0,0
St Martin,France,18.0708,-63.0501,2020-01-30,0,0,0,0
,Honduras,15.2,-86.2419,2020-01-30,0,0,0,0
Channel Islands,United Kingdom,49.3723,-2.3644,2020-01-30,0,0,0,0
New Brunswick,Canada,46.5653,-66.4619,2020-01-30,0,0,0,0
Tibet,China,31.6927,88.0924,2020-01-30,1,0,0,1
,Congo (Kinshasa),-4.0383,21.7587,2020-01-30,0,0,0,0
,Cote d'Ivoire,7.54,-5.5471,2020-01-30,0,0,0,0
Saint Barthelemy,France,17.9,-62.8333,2020-01-30,0,0,0,0
,Jamaica,18.1096,-77.2975,2020-01-30,0,0,0,0
,Reunion,-21.1151,55.5364,2020-01-30,0,0,0,0
,Turkey,38.9637,35.2433,2020-01-30,0,0,0,0
Gibraltar,United Kingdom,36.1408,-5.3536,2020-01-30,0,0,0,0
,Cuba,22.0,-80.0,2020-01-30,0,0,0,0
,Guyana,5.0,-58.75,2020-01-30,0,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-01-30,0,0,0,0
United Kingdom,United Kingdom,55.3781,-3.4360000000000004,2020-01-30,0,0,0,0
,Kazakhstan,48.0196,66.9237,2020-01-30,0,0,0,0
French Polynesia,France,-17.6797,149.4068,2020-01-30,0,0,0,0
,Cayman Islands,19.3133,-81.2546,2020-01-30,0,0,0,0
,Guadeloupe,16.265,-61.551,2020-01-30,0,0,0,0
Manitoba,Canada,53.7609,-98.8139,2020-01-30,0,0,0,0
Saskatchewan,Canada,52.9399,-106.4509,2020-01-30,0,0,0,0
,Ethiopia,9.145,40.4897,2020-01-30,0,0,0,0
,Sudan,12.8628,30.2176,2020-01-30,0,0,0,0
,Guinea,9.9456,-9.6966,2020-01-30,0,0,0,0
,Aruba,12.5211,-69.9683,2020-01-30,0,0,0,0
Grand Princess,Canada,37.6489,-122.6655,2020-01-30,0,0,0,0
,Kenya,-0.0236,37.9062,2020-01-30,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-01-30,0,0,0,0
Alabama,US,32.3182,-86.9023,2020-01-30,0,0,0,0
,Uruguay,-32.5228,-55.7658,2020-01-30,0,0,0,0
,Ghana,7.9465,-1.0232,2020-01-30,0,0,0,0
Puerto Rico,US,18.2208,-66.5901,2020-01-30,0,0,0,0
,Jersey,49.19,-2.11,2020-01-30,0,0,0,0
,Namibia,-22.9576,18.4904,2020-01-30,0,0,0,0
,Seychelles,-4.6796,55.492,2020-01-30,0,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2020-01-30,0,0,0,0
,Venezuela,6.4238,-66.5897,2020-01-30,0,0,0,0
,Curacao,12.1696,-68.99,2020-01-30,0,0,0,0
,Eswatini,-26.5225,31.4659,2020-01-30,0,0,0,0
,Gabon,-0.8037,11.6094,2020-01-30,0,0,0,0
,Guatemala,15.7835,-90.2308,2020-01-30,0,0,0,0
,Guernsey,49.45,-2.58,2020-01-30,0,0,0,0
,Mauritania,21.0079,10.9408,2020-01-30,0,0,0,0
,Rwanda,-1.9403,29.8739,2020-01-30,0,0,0,0
,Saint Lucia,13.9094,-60.9789,2020-01-30,0,0,0,0
,Saint Vincent and the Grenadines,12.9843,-61.2872,2020-01-30,0,0,0,0
,Suriname,3.9193,-56.0278,2020-01-30,0,0,0,0
,occupied Palestinian territory,31.9522,35.2332,2020-01-30,0,0,0,0
French Guiana,France,3.9339,-53.1258,2020-01-30,0,0,0,0
Guam,US,13.4443,144.7937,2020-01-30,0,0,0,0
,Kosovo,42.6026,20.903,2020-01-30,0,0,0,0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-01-30,0,0,0,0
Prince Edward Island,Canada,46.5107,-63.4168,2020-01-30,0,0,0,0
,Central African Republic,6.6111,20.9394,2020-01-30,0,0,0,0
,Congo (Brazzaville),-4.0383,21.7587,2020-01-30,0,0,0,0
,Equatorial Guinea,1.5,10.0,2020-01-30,0,0,0,0
Mayotte,France,-12.8275,45.1662,2020-01-30,0,0,0,0
,Uzbekistan,41.3775,64.5853,2020-01-30,0,0,0,0
,Thailand,15.0,101.0,2020-01-31,19,0,5,14
,Japan,36.0,138.0,2020-01-31,15,0,1,14
,Singapore,1.2833,103.8333,2020-01-31,13,0,0,13
,Nepal,28.1667,84.25,2020-01-31,1,0,0,1
,Malaysia,2.5,112.5,2020-01-31,8,0,0,8
British Columbia,Canada,49.2827,-123.1207,2020-01-31,1,0,0,1
New South Wales,Australia,-33.8688,151.2093,2020-01-31,4,0,2,2
Victoria,Australia,-37.8136,144.9631,2020-01-31,3,0,0,3
Queensland,Australia,-28.0167,153.4,2020-01-31,2,0,0,2
,Cambodia,11.55,104.9167,2020-01-31,1,0,0,1
,Sri Lanka,7.0,81.0,2020-01-31,1,0,0,1
,Germany,51.0,9.0,2020-01-31,5,0,0,5
,Finland,64.0,26.0,2020-01-31,1,0,0,1
,United Arab Emirates,24.0,54.0,2020-01-31,4,0,0,4
,Philippines,13.0,122.0,2020-01-31,1,0,0,1
,India,21.0,78.0,2020-01-31,1,0,0,1
,Italy,43.0,12.0,2020-01-31,2,0,0,2
,Sweden,63.0,16.0,2020-01-31,1,0,0,1
,Spain,40.0,-4.0,2020-01-31,0,0,0,0
South Australia,Australia,-34.9285,138.6007,2020-01-31,0,0,0,0
,Belgium,50.8333,4.0,2020-01-31,0,0,0,0
,Egypt,26.0,30.0,2020-01-31,0,0,0,0
From Diamond Princess,Australia,35.4437,139.638,2020-01-31,0,0,0,0
,Lebanon,33.8547,35.8623,2020-01-31,0,0,0,0
,Iraq,33.0,44.0,2020-01-31,0,0,0,0
,Oman,21.0,57.0,2020-01-31,0,0,0,0
,Afghanistan,33.0,65.0,2020-01-31,0,0,0,0
,Bahrain,26.0275,50.55,2020-01-31,0,0,0,0
,Kuwait,29.5,47.75,2020-01-31,0,0,0,0
,Algeria,28.0339,1.6596,2020-01-31,0,0,0,0
,Croatia,45.1,15.2,2020-01-31,0,0,0,0
,Switzerland,46.8182,8.2275,2020-01-31,0,0,0,0
,Austria,47.5162,14.5501,2020-01-31,0,0,0,0
,Israel,31.0,35.0,2020-01-31,0,0,0,0
,Pakistan,30.3753,69.3451,2020-01-31,0,0,0,0
,Brazil,-14.235,-51.9253,2020-01-31,0,0,0,0
,Georgia,42.3154,43.3569,2020-01-31,0,0,0,0
,Greece,39.0742,21.8243,2020-01-31,0,0,0,0
,North Macedonia,41.6086,21.7453,2020-01-31,0,0,0,0
,Norway,60.472,8.4689,2020-01-31,0,0,0,0
,Romania,45.9432,24.9668,2020-01-31,0,0,0,0
,Estonia,58.5953,25.0136,2020-01-31,0,0,0,0
,Netherlands,52.1326,5.2913,2020-01-31,0,0,0,0
,San Marino,43.9424,12.4578,2020-01-31,0,0,0,0
,Belarus,53.7098,27.9534,2020-01-31,0,0,0,0
,Iceland,64.9631,-19.0208,2020-01-31,0,0,0,0
,Lithuania,55.1694,23.8813,2020-01-31,0,0,0,0
,Mexico,23.6345,-102.5528,2020-01-31,0,0,0,0
,New Zealand,-40.9006,174.886,2020-01-31,0,0,0,0
,Nigeria,9.082,8.6753,2020-01-31,0,0,0,0
Western Australia,Australia,-31.9505,115.8605,2020-01-31,0,0,0,0
,Ireland,53.1424,-7.6921,2020-01-31,0,0,0,0
,Luxembourg,49.8153,6.1296,2020-01-31,0,0,0,0
,Monaco,43.7333,7.4167,2020-01-31,0,0,0,0
,Qatar,25.3548,51.1839,2020-01-31,0,0,0,0
,Ecuador,-1.8312,-78.1834,2020-01-31,0,0,0,0
,Azerbaijan,40.1431,47.5769,2020-01-31,0,0,0,0
,Armenia,40.0691,45.0382,2020-01-31,0,0,0,0
,Dominican Republic,18.7357,-70.1627,2020-01-31,0,0,0,0
,Indonesia,-0.7893,113.9213,2020-01-31,0,0,0,0
,Portugal,39.3999,-8.2245,2020-01-31,0,0,0,0
,Andorra,42.5063,1.5218,2020-01-31,0,0,0,0
Tasmania,Australia,-41.4545,145.9707,2020-01-31,0,0,0,0
,Latvia,56.8796,24.6032,2020-01-31,0,0,0,0
,Morocco,31.7917,-7.0926,2020-01-31,0,0,0,0
,Saudi Arabia,24.0,45.0,2020-01-31,0,0,0,0
,Senegal,14.4974,-14.4524,2020-01-31,0,0,0,0
,Argentina,-38.4161,-63.6167,2020-01-31,0,0,0,0
,Chile,-35.6751,-71.543,2020-01-31,0,0,0,0
,Jordan,31.24,36.51,2020-01-31,0,0,0,0
,Ukraine,48.3794,31.1656,2020-01-31,0,0,0,0
,Hungary,47.1625,19.5033,2020-01-31,0,0,0,0
Northern Territory,Australia,-12.4634,130.8456,2020-01-31,0,0,0,0
,Liechtenstein,47.14,9.55,2020-01-31,0,0,0,0
,Poland,51.9194,19.1451,2020-01-31,0,0,0,0
,Tunisia,34.0,9.0,2020-01-31,0,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2020-01-31,0,0,0,0
,Slovenia,46.1512,14.9955,2020-01-31,0,0,0,0
,South Africa,-30.5595,22.9375,2020-01-31,0,0,0,0
,Bhutan,27.5142,90.4336,2020-01-31,0,0,0,0
,Cameroon,3.848,11.5021,2020-01-31,0,0,0,0
,Colombia,4.5709,-74.2973,2020-01-31,0,0,0,0
,Costa Rica,9.7489,-83.7534,2020-01-31,0,0,0,0
,Peru,-9.19,-75.0152,2020-01-31,0,0,0,0
,Serbia,44.0165,21.0059,2020-01-31,0,0,0,0
,Slovakia,48.669,19.699,2020-01-31,0,0,0,0
,Togo,8.6195,0.8248,2020-01-31,0,0,0,0
,Malta,35.9375,14.3754,2020-01-31,0,0,0,0
,Martinique,14.6415,-61.0242,2020-01-31,0,0,0,0
,Bulgaria,42.7339,25.4858,2020-01-31,0,0,0,0
,Maldives,3.2028,73.2207,2020-01-31,0,0,0,0
,Bangladesh,23.685,90.3563,2020-01-31,0,0,0,0
,Paraguay,-23.4425,-58.4438,2020-01-31,0,0,0,0
Ontario,Canada,51.2538,-85.3232,2020-01-31,3,0,0,3
Alberta,Canada,53.9333,-116.5765,2020-01-31,0,0,0,0
Quebec,Canada,52.9399,-73.5491,2020-01-31,0,0,0,0
,Albania,41.1533,20.1683,2020-01-31,0,0,0,0
,Cyprus,35.1264,33.4299,2020-01-31,0,0,0,0
,Brunei,4.5353,114.7277,2020-01-31,0,0,0,0
Washington,US,47.4009,-121.4905,2020-01-31,0,0,0,0
New York,US,42.1657,-74.9481,2020-01-31,0,0,0,0
California,US,36.1162,-119.6816,2020-01-31,0,0,0,0
Massachusetts,US,42.2302,-71.5301,2020-01-31,0,0,0,0
Diamond Princess,US,35.4437,139.638,2020-01-31,0,0,0,0
Grand Princess,US,37.6489,-122.6655,2020-01-31,0,0,0,0
Georgia,US,33.0406,-83.6431,2020-01-31,0,0,0,0
Colorado,US,39.0598,-105.3111,2020-01-31,0,0,0,0
Florida,US,27.7663,-81.6868,2020-01-31,0,0,0,0
New Jersey,US,40.2989,-74.521,2020-01-31,0,0,0,0
Oregon,US,44.572,-122.0709,2020-01-31,0,0,0,0
Texas,US,31.0545,-97.5635,2020-01-31,0,0,0,0
Illinois,US,40.3495,-88.9861,2020-01-31,0,0,0,0
Pennsylvania,US,40.5908,-77.2098,2020-01-31,0,0,0,0
Iowa,US,42.0115,-93.2105,2020-01-31,0,0,0,0
Maryland,US,39.0639,-76.8021,2020-01-31,0,0,0,0
North Carolina,US,35.6301,-79.8064,2020-01-31,0,0,0,0
South Carolina,US,33.8569,-80.945,2020-01-31,0,0,0,0
Tennessee,US,35.7478,-86.6923,2020-01-31,0,0,0,0
Virginia,US,37.7693,-78.17,2020-01-31,0,0,0,0
Arizona,US,33.7298,-111.4312,2020-01-31,0,0,0,0
Indiana,US,39.8494,-86.2583,2020-01-31,0,0,0,0
Kentucky,US,37.6681,-84.6701,2020-01-31,0,0,0,0
District of Columbia,US,38.8974,-77.0268,2020-01-31,0,0,0,0
Nevada,US,38.3135,-117.0554,2020-01-31,0,0,0,0
New Hampshire,US,43.4525,-71.5639,2020-01-31,0,0,0,0
Minnesota,US,45.6945,-93.9002,2020-01-31,0,0,0,0
Nebraska,US,41.1254,-98.2681,2020-01-31,0,0,0,0
Ohio,US,40.3888,-82.7649,2020-01-31,0,0,0,0
Rhode Island,US,41.6809,-71.5118,2020-01-31,0,0,0,0
Wisconsin,US,44.2685,-89.6165,2020-01-31,0,0,0,0
Connecticut,US,41.5978,-72.7554,2020-01-31,0,0,0,0
Hawaii,US,21.0943,-157.4983,2020-01-31,0,0,0,0
Oklahoma,US,35.5653,-96.9289,2020-01-31,0,0,0,0
Utah,US,40.15,-111.8624,2020-01-31,0,0,0,0
,Burkina Faso,12.2383,-1.5616,2020-01-31,0,0,0,0
,Holy See,41.9029,12.4534,2020-01-31,0,0,0,0
,Mongolia,46.8625,103.8467,2020-01-31,0,0,0,0
,Panama,8.538,-80.7821,2020-01-31,0,0,0,0
Kansas,US,38.5266,-96.7265,2020-01-31,0,0,0,0
Louisiana,US,31.1695,-91.8678,2020-01-31,0,0,0,0
Missouri,US,38.4561,-92.2884,2020-01-31,0,0,0,0
Vermont,US,44.0459,-72.7107,2020-01-31,0,0,0,0
Alaska,US,61.3707,-152.4044,2020-01-31,0,0,0,0
Arkansas,US,34.9697,-92.3731,2020-01-31,0,0,0,0
Delaware,US,39.3185,-75.5071,2020-01-31,0,0,0,0
Idaho,US,44.2405,-114.4788,2020-01-31,0,0,0,0
Maine,US,44.6939,-69.3819,2020-01-31,0,0,0,0
Michigan,US,43.3266,-84.5361,2020-01-31,0,0,0,0
Mississippi,US,32.7416,-89.6787,2020-01-31,0,0,0,0
Montana,US,46.9219,-110.4544,2020-01-31,0,0,0,0
New Mexico,US,34.8405,-106.2485,2020-01-31,0,0,0,0
North Dakota,US,47.5289,-99.784,2020-01-31,0,0,0,0
South Dakota,US,44.2998,-99.4388,2020-01-31,0,0,0,0
West Virginia,US,38.4912,-80.9545,2020-01-31,0,0,0,0
Wyoming,US,42.756,-107.3025,2020-01-31,0,0,0,0
Hubei,China,30.9756,112.2707,2020-01-31,5806,204,141,5461
,Iran,32.0,53.0,2020-01-31,0,0,0,0
,"Korea, South",36.0,128.0,2020-01-31,11,0,0,11
France,France,46.2276,2.2137,2020-01-31,5,0,0,5
Guangdong,China,23.3417,113.4244,2020-01-31,436,0,11,425
Henan,China,33.882,113.614,2020-01-31,352,2,3,347
Zhejiang,China,29.1832,120.0934,2020-01-31,538,0,14,524
Hunan,China,27.6104,111.7088,2020-01-31,332,0,2,330
Anhui,China,31.8257,117.2264,2020-01-31,237,0,3,234
Jiangxi,China,27.614,115.7221,2020-01-31,240,0,7,233
Shandong,China,36.3427,118.1498,2020-01-31,184,0,2,182
Diamond Princess,Cruise Ship,35.4437,139.638,2020-01-31,0,0,0,0
Jiangsu,China,32.9711,119.455,2020-01-31,168,0,5,163
Chongqing,China,30.0572,107.874,2020-01-31,211,0,1,210
Sichuan,China,30.6171,102.7103,2020-01-31,177,1,1,175
Heilongjiang,China,47.862,127.7615,2020-01-31,59,2,0,57
Denmark,Denmark,56.2639,9.5018,2020-01-31,0,0,0,0
Beijing,China,40.1824,116.4142,2020-01-31,139,1,5,133
Shanghai,China,31.202,121.4491,2020-01-31,135,1,9,125
Hebei,China,39.549,116.1306,2020-01-31,82,1,0,81
Fujian,China,26.0789,117.9874,2020-01-31,120,0,0,120
